Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Flipkart,https://angel.co/flipkart,5,Jan '12,Bangalore,Online Shopping,http://www.flipkart.com/,5000+,Seed,1751140000
Zendrive,https://angel.co/zendrive,5,Aug '13,San Francisco,Insurance Companies,http://www.zendrive.com,11-50,"",3000000
Headout ,https://angel.co/headout,5,Feb '14,San Francisco,Ticketing,http://www.headout.com,51-200,"",1800000
ixigo.com,https://angel.co/ixigo-com,5,Sep '13,Gurgaon,Travel & Tourism,http://www.ixigo.com,51-200,Series B,19500000
Razorpay,https://angel.co/razorpay,5,Mar '15,Bangalore,Fin Tech,https://razorpay.com,11-50,"",""
Must See India,https://angel.co/must-see-india,5,Feb '13,Bangalore,Guides,http://www.mustseeindia.com,11-50,"",5000000
mygola.com,https://angel.co/mygola-com,5,Aug '10,Bangalore,Online Travel,http://mygola.com,11-50,Series A,2658000
Lookup,https://angel.co/lookupto,5,Dec '14,Bangalore,Messaging,http://www.lookup.to,11-50,Series A,2882000
HackerEarth,https://angel.co/hackerearth,5,Dec '12,Bangalore,Programming,https://www.hackerearth.com,51-200,Seed,660000
Springboard,https://angel.co/springboard,4,Apr '15,San Francisco,Training,http://www.springboard.com,11-50,Seed,1765000
tushky.com,https://angel.co/tushky-com,4,Feb '13,Mumbai,Marketplaces,http://tushky.com,1-10,Seed,291000
CultureAlley,https://angel.co/culturealley,4,Feb '13,India,Android,http://new.culturealley.com/,1-10,"",345000
PriceBaba,https://angel.co/pricebaba,4,Oct '12,Mumbai,Price Comparison,http://pricebaba.com,11-50,Seed,""
Times Internet,https://angel.co/times-internet,4,Jul '13,New Delhi,News,http://www.timesinternet.in,501-1000,"",""
Shoto,https://angel.co/shoto,4,Feb '13,San Francisco,Private Social Networking,http://shoto.com,1-10,Seed,250000
Instamojo,https://angel.co/instamojo,4,Apr '12,Bangalore,Mobile Commerce,http://instamojo.com,11-50,"",500000
OYO Rooms,https://angel.co/oyo-rooms,4,Sep '11,New Delhi,Hotels,http://oyorooms.com,1001-5000,"",""
SocialCops,https://angel.co/social-cops,4,Feb '13,India,Data,https://socialcops.com/,11-50,"",320000
Quickli,https://angel.co/quickli,4,Jan '15,Gurgaon,Hyperlocal,http://quickli.com,11-50,"",""
ShoppinPal,https://angel.co/shoppinpal,4,Aug '12,Pune,Bridging Online and Offline,http://shoppinpal.com,1-10,"",500000
Tripoto,https://angel.co/tripoto-1,4,May '14,New Delhi,Global,http://www.tripoto.com,11-50,"",""
SimpliBuy Technologies,https://angel.co/simplibuy-technologies,4,Dec '11,Pune,Mobile Shopping,http://www.wicfy.com,11-50,"",200000
Bitcoin India,https://angel.co/bitcoin-india-1,4,Aug '14,India,Remittance,https://bitcoin-india.org,1-10,"",""
TouchTalent,https://angel.co/touchtalent,4,Jul '13,New Delhi,Creative Industries,http://www.touchtalent.com,11-50,"",740000
RippleHire,https://angel.co/ripplehire,4,Jun '14,Mumbai,Gamification,http://www.ripplehire.com,11-50,"",""
Eventifier,https://angel.co/eventifier,4,Aug '12,Bangalore,Event Management,http://eventifier.com,1-10,Seed,500000
Globevestor,https://angel.co/globevestor,4,Aug '13,San Francisco,Crowdfunding,http://www.globevestor.com,1-10,Seed,350000
InnovAccer ,https://angel.co/innovaccer-2,4,Mar '12,Noida,"",http://www.innnovaccer.com,51-200,"",""
SquadRun,https://angel.co/squadrun,4,Apr '14,Noida,Virtual Workforces,https://squadrun.co,11-50,"",""
Autowale,https://angel.co/autowale,4,Jan '13,Pune,Technology,http://www.autowale.in,11-50,"",""
AirStream,https://angel.co/airstream,4,Mar '13,Pune,Utilities,http://airstream.io,1-10,"",""
Inkmonk,https://angel.co/inkmonk,4,Apr '14,Chennai,Shipping,http://www.inkmonk.com,11-50,Seed,250000
Flinto,https://angel.co/flinto,4,Jul '13,Chennai,Edutainment,http://www.flintobox.com,11-50,"",335000
iimjobs,https://angel.co/iimjobs,4,Aug '11,New Delhi,Recruiting,http://iimjobs.com,11-50,"",""
ZAPR Media Labs,https://angel.co/zaprlabs,4,Apr '14,Bangalore,Mobile Technology,http://www.zapr.in,11-50,"",""
Milaap Social Ventures,https://angel.co/milaap-social-ventures,4,Apr '12,Bangalore,Crowdfunding,http://www.milaap.org,11-50,Series A,1100000
Overcart,https://angel.co/overcart,4,Oct '12,New Delhi,Big Data Analytics,http://www.overcart.com,51-200,Seed,""
Timesaverz ,https://angel.co/timesaverz,4,Feb '14,Mumbai,"",http://www.timesaverz.com,51-200,Series A,2537000
Tookitaki,https://angel.co/tookitaki,4,Jan '13,Bangalore,Big Data Analytics,http://www.tookitaki.com,11-50,Seed,1200000
DataWeave,https://angel.co/dataweave,4,Mar '12,Bangalore,Big Data Analytics,http://www.dataweave.in,1-10,"",""
FirstRide,https://angel.co/firstride,4,Oct '14,Bangalore,Internet of Things,http://www.firstride.in,11-50,"",100000
Wishberg,https://angel.co/wishberg-1,4,Jul '12,Mumbai,Private Social Networking,http://www.wishberg.com,1-10,Seed,150000
Frrole,https://angel.co/frrole,4,Mar '13,Bangalore,Social Media Monitoring,http://frrole.com,11-50,"",250000
Gingr,https://angel.co/gingr,4,Nov '12,Gurgaon,Local Businesses,http://www.gingr.me,1-10,"",28000
Vacation Labs,https://angel.co/vacation-labs,4,Feb '13,Panaji,Travel & Tourism,http://www.vacationlabs.com,11-50,Seed,1000000
Exotel,https://angel.co/exotel,4,Jul '12,Bangalore,Small and Medium Businesses,http://exotel.in,1-10,Seed,500000
Langhar ,https://angel.co/langhar,4,Mar '13,New Delhi,Collaborative Consumption,http://langhar.com,1-10,"",38000
TripMD,https://angel.co/tripmd,4,Jun '14,New Delhi,Global,http://tripmd.com,1-10,Seed,45000
kamraa.com,https://angel.co/kamraa,4,Oct '14,New Delhi,Indian Real Estate,http://www.kamraa.com,1-10,"",""
VoxApp,https://angel.co/voxapp,4,Aug '13,New Delhi,Big Data Analytics,http://www.voxapp.com,1-10,Seed,""
Moonfrog Labs,https://angel.co/moonfrog-labs,4,Oct '13,Bangalore,Mobile Games,"",1-10,Series A,16000000
Venturesity,https://angel.co/venturesity,4,Aug '13,Bangalore,Startups,http://www.venturesity.com/,11-50,"",25000
Haptik,https://angel.co/haptik,4,Oct '13,Mumbai,Customer Service,http://www.haptik.co,11-50,"",1000000
Webchutney,https://angel.co/webchutney,4,Nov '12,New Delhi,Internet Marketing,http://webchutney.com/,201-500,"",""
Thrillophilia,https://angel.co/thrillophilia,4,Oct '12,Bangalore,Travel & Tourism,http://www.thrillophilia.com,11-50,"",230000
Rolocule Games,https://angel.co/rolocule-games,4,Oct '13,Pune,Mobile Games,http://www.rolocule.com,11-50,"",""
SwitchMe Technologies,https://angel.co/switchme-technologies,4,May '13,India,Financial Services,http://switchme.in,11-50,"",""
Sourcebits,https://angel.co/sourcebits,4,Oct '12,San Francisco,User Experience Design,http://www.sourcebits.com,51-200,Series A,10000000
Airwoot,https://angel.co/airwoot,4,Aug '13,New Delhi,Customer Support Tools,http://airwoot.com,1-10,Seed,""
MobiKwik,https://angel.co/mobikwik,4,Sep '12,New Delhi,Mobile Payments,http://www.mobikwik.com,51-200,Seed,250000
Zomato,https://angel.co/zomato,4,Dec '13,New Delhi,Restaurants,http://www.zomato.com/careers,501-1000,"",113800000
FindYogi,https://angel.co/findyogi,4,Jun '13,Bangalore,Comparison Shopping,http://www.findyogi.com,1-10,"",100000
Zumbl,https://angel.co/zumbl,4,Jul '12,Gurgaon,Online Dating,http://zumbl.com,1-10,Acquired,120000
whatfix,https://angel.co/whatfix,4,Jun '13,Bangalore,Self Help,http://whatfix.com/,11-50,Seed,1200000
TravelTriangle,https://angel.co/traveltriangle,4,Oct '13,New Delhi,Personalization,http://traveltriangle.com,51-200,Seed,1900000
PlayCez,https://angel.co/playcez,4,Sep '11,New Delhi,Content Discovery,http://www.playcez.com,1-10,"",""
